,categories,category_link
20,Pasta,https://www.ubereats.com/gb/search?kn=Pasta&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Pasta&sc=HOME_FEED_ITEM
21,Turkish,https://www.ubereats.com/gb/search?kn=Turkish&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Turkish&sc=HOME_FEED_ITEM
22,Greek,https://www.ubereats.com/gb/search?kn=Greek&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Greek&sc=HOME_FEED_ITEM
23,Mexican,https://www.ubereats.com/gb/search?kn=Mexican&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Mexican&sc=HOME_FEED_ITEM
24,Chicken,https://www.ubereats.com/gb/search?kn=Pollo&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Chicken&sc=HOME_FEED_ITEM
25,Fish   chips,https://www.ubereats.com/gb/search?kn=FishAndChips&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Fish%20%26%20chips&sc=HOME_FEED_ITEM
26,Vegan,https://www.ubereats.com/gb/search?kn=Vegan&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Vegan&sc=HOME_FEED_ITEM
27,Cafe,https://www.ubereats.com/gb/search?kn=Cafe&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Cafe&sc=HOME_FEED_ITEM
28,Soup,https://www.ubereats.com/gb/search?kn=Soup&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Soup&sc=HOME_FEED_ITEM
29,Japanese,https://www.ubereats.com/gb/search?kn=Japanese&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Japanese&sc=HOME_FEED_ITEM
